April,Dme7g,150,0,1685,175,2110,300,2035,1865,9105,380,1925
v3675,Dme7g,150,175,1645,180,6360,0,1965,1850,14770,380,2645
November,Dme7g,110,155,1905,135,2145,260,1825,1905,8365,395,1565,1425
v3675,Dme3g,60,75,875,85,955,75,805,855,4175,170,1545
November,Dme3g,60,100,1120,90,975,75,790,920,4270,200,1245,830
V3682,Dme3g,60,85,900,85,2665,0,850,925,6655,165,1355
April,Dme3g,60,0,890,90,940,70,830,915,4245,165,1390

