NODES,8 OMP 2 MPI,1 OMP,16 OMP,4 OMP
1,null,null,1009,1113
4,1938,1918,2179,1299
6,1231
10,1711
12,1424
14,1238
16,1865
18,1671
20,731
22,632
24,658
26,655
28,613
30,1203
32,661
34,603
36,1182
38,908


